
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1962"	"0.101"	"1.929"	"1.32"	"37.5"	"58.018"	"109.024"	"113.457"	"286.205"	"316.882"	"86.972"	"57.246"	"15.156"
"1963"	"0"	"5.253"	"16.215"	"23.023"	"26.511"	"209.793"	"133.198"	"367.777"	"95.537"	"120.212"	"0.286"	"0"
"1964"	"0.151"	"0.501"	"12.017"	"7.681"	"1.747"	"112.695"	"199.092"	"141.973"	"322.93"	"31.971"	"7.568"	"0.4"
"1965"	"0.272"	"0.082"	"0"	"2.093"	"0.966"	"116.539"	"180.015"	"133.094"	"118.691"	"2.84"	"1.85"	"12.475"
"1966"	"5.439"	"1.949"	"4.044"	"5.869"	"10.855"	"91.042"	"169.883"	"126.087"	"232.812"	"26.421"	"92.471"	"12.82"
"1967"	"1.318"	"0.705"	"3.735"	"1.509"	"45.454"	"112.012"	"281.585"	"78.833"	"142.765"	"28.162"	"2.32"	"29.748"
"1968"	"2.708"	"54.213"	"35.99"	"3.302"	"8.995"	"84.793"	"161.744"	"29.303"	"282.873"	"59.445"	"9.65"	"0.129"
"1969"	"0"	"0"	"0.804"	"4.353"	"9.161"	"94.602"	"154.272"	"120.363"	"227.808"	"25.49"	"27.642"	"0.688"
"1970"	"3.224"	"0"	"0"	"26.318"	"31.172"	"155.592"	"133.987"	"246.748"	"290.804"	"29.341"	"0.252"	"0"
"1971"	"0.168"	"0"	"0.66"	"1.926"	"31.948"	"66.813"	"36.134"	"156.611"	"201.626"	"163.633"	"0.252"	"0"
"1972"	"0"	"0.649"	"0.025"	"9.806"	"13.941"	"64.323"	"46.536"	"84.567"	"123.976"	"6.477"	"44.157"	"0.1"
"1973"	"0"	"0.092"	"0"	"3.731"	"1.903"	"120.908"	"125.96"	"311.337"	"140.32"	"198.731"	"0.493"	"0"
"1974"	"0"	"0"	"0.424"	"5.076"	"10.591"	"121.562"	"133.356"	"148.488"	"205.555"	"309.761"	"0.252"	"0"
"1975"	"5.373"	"3.417"	"8.247"	"1.251"	"9.506"	"91.383"	"178.344"	"143.016"	"320.925"	"233.602"	"0.887"	"0"
"1976"	"0"	"0"	"12.229"	"34.002"	"21.638"	"141.765"	"130.967"	"141.416"	"79.994"	"13.349"	"31.761"	"0"
"1977"	"0"	"0"	"16.56"	"5.644"	"16.452"	"116.231"	"122.293"	"100.844"	"110.673"	"85.731"	"60.889"	"0.594"
"1978"	"4.803"	"31.123"	"8.601"	"21.344"	"65.22"	"164.357"	"181.632"	"138.564"	"172.35"	"104.284"	"39.416"	"0.308"
"1979"	"0.448"	"19.442"	"11.037"	"12.728"	"45.425"	"86.188"	"146.424"	"80.607"	"341.022"	"23.132"	"119.372"	"0.224"
"1980"	"0.05"	"0"	"26.385"	"31.316"	"2.595"	"63.362"	"62.757"	"244.778"	"146.51"	"2.256"	"2.062"	"7.605"
"1981"	"12.254"	"0.009"	"20.221"	"14.14"	"33.905"	"187.013"	"77.934"	"145.412"	"333.292"	"98.774"	"5.862"	"1.075"
"1982"	"0.533"	"0.407"	"0.309"	"42.417"	"49.104"	"76.278"	"306.499"	"65.364"	"273.494"	"48.813"	"49.625"	"0"
"1983"	"0"	"0"	"0"	"0.6"	"51.663"	"109.512"	"136.203"	"214.649"	"463.36"	"157.987"	"2.89"	"21.036"
"1984"	"7.773"	"33.98"	"0.334"	"0.859"	"0.491"	"60.758"	"125.538"	"86.002"	"131.21"	"83.7"	"0.922"	"1.481"
"1985"	"3.578"	"0"	"11.46"	"10.924"	"2.331"	"138.707"	"140.222"	"95.139"	"55.918"	"125.465"	"36.768"	"2.919"
"1986"	"3.715"	"14.9"	"0"	"20.486"	"8.828"	"194.709"	"118.311"	"183.3"	"87.397"	"14.217"	"22.537"	"19.696"
"1987"	"20.37"	"9.832"	"15.877"	"3.965"	"46.877"	"103.236"	"96.212"	"173.606"	"71.655"	"149.216"	"46.496"	"12.169"
"1988"	"0"	"10.81"	"0"	"32.308"	"14.328"	"84.473"	"255.799"	"163.267"	"366.201"	"56.993"	"1.383"	"4.426"
"1989"	"0"	"0"	"31.565"	"8.615"	"14.656"	"139.363"	"247.331"	"110.405"	"204.858"	"58.829"	"2.333"	"3.705"
"1990"	"1.015"	"0.324"	"9.896"	"0.362"	"117.784"	"145.295"	"140.613"	"228.824"	"83.572"	"135.776"	"31.651"	"2.858"
"1991"	"0.801"	"1.218"	"1.198"	"21.545"	"16.512"	"191.932"	"130.581"	"146.205"	"154.741"	"21.717"	"22.529"	"0"
"1992"	"0"	"0"	"0"	"3.621"	"31.013"	"92.618"	"83.026"	"241.074"	"209.211"	"44.112"	"9.645"	"0"
"1993"	"0"	"1.527"	"2.011"	"5.291"	"5.426"	"79.872"	"156.399"	"133.424"	"140.457"	"189.232"	"2.002"	"8.193"
"1994"	"12.229"	"6.256"	"7.88"	"29.439"	"14.41"	"172.509"	"152.076"	"154.409"	"114.689"	"177.968"	"29.63"	"0"
"1995"	"14.457"	"0"	"22.736"	"2.986"	"47.057"	"112.221"	"199.799"	"104.556"	"251.525"	"196.048"	"19.249"	"0"
