
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1972"	"0"	"0.3828"	"0.0253"	"0.9647"	"1.7558"	"6.46"	"6.0863"	"4.3653"	"6.2131"	"1.0011"	"2.7853"	"0.1001"
"1973"	"0"	"0.092"	"0"	"1.3742"	"0.9225"	"5.845"	"8.3763"	"10.6556"	"7.511"	"6.8791"	"0.4902"	"0"
"1974"	"0"	"0"	"0.199"	"1.5381"	"4.3649"	"6.5349"	"7.1967"	"8.0824"	"8.6142"	"7.052"	"0.2521"	"0"
"1975"	"0.9399"	"0.4189"	"1.1602"	"0.5809"	"1.7822"	"7.0994"	"10.9191"	"8.6281"	"11.2992"	"6.7521"	"0.4904"	"0"
"1976"	"0"	"0"	"1.2463"	"1.9867"	"1.3294"	"7.0095"	"9.1842"	"9.4938"	"5.7627"	"1.035"	"1.8023"	"0"
"1977"	"0"	"0"	"1.2463"	"1.4111"	"2.5113"	"6.7791"	"7.3818"	"7.6422"	"6.3896"	"4.6966"	"4.4281"	"0.5934"
"1978"	"1.0001"	"1.0001"	"1.2463"	"2.3506"	"2.9733"	"8.7019"	"8.0908"	"7.768"	"6.0215"	"4.3814"	"3.1532"	"0.0892"
"1979"	"0.2568"	"1.0001"	"1.2463"	"1.064"	"3.5603"	"7.3933"	"7.5272"	"6.6673"	"10.3923"	"2.7015"	"3.3083"	"0.2233"
"1980"	"0.0503"	"0"	"1.2463"	"1.6975"	"1.0161"	"8.0275"	"7.072"	"10.1897"	"7.6801"	"0.9948"	"1.2307"	"1.6601"
"1981"	"1.0001"	"0.0091"	"1.7163"	"1.2802"	"2.7098"	"8.04"	"8.0318"	"9.2618"	"12.2777"	"4.4326"	"1.4507"	"0.4423"
"1982"	"0.288"	"0.4072"	"0.3103"	"2.0591"	"3.5673"	"5.3309"	"9.9872"	"5.6434"	"10.3747"	"2.553"	"2.933"	"0"
"1983"	"0"	"0"	"0"	"0.5735"	"1.7777"	"7.1707"	"9.4268"	"10.517"	"12.7072"	"4.9009"	"0.863"	"1.9111"
"1984"	"1.0001"	"1.0001"	"0.2006"	"0.8564"	"0.4899"	"3.9558"	"8.8387"	"6.0679"	"7.9099"	"5.4689"	"0.29"	"1.3843"
"1985"	"0.9791"	"0"	"1.5175"	"1.9267"	"1.2199"	"8.2202"	"8.6904"	"6.9419"	"5.2528"	"4.9926"	"1.9676"	"1.6601"
"1986"	"0.991"	"1.0001"	"0"	"1.887"	"1.0543"	"8.8088"	"8.1747"	"8.7865"	"5.6779"	"1.6435"	"2.0669"	"2.6013"
"1987"	"1.0001"	"1.0001"	"1.5382"	"1.064"	"3.5367"	"6.6904"	"6.2351"	"7.7546"	"5.7766"	"5.4423"	"3.1655"	"2.1547"
"1988"	"0"	"0.9819"	"0"	"2.4365"	"1.7434"	"6.4293"	"11.5189"	"9.0481"	"11.2446"	"3.8917"	"1.0507"	"1.663"
"1989"	"0"	"0"	"1.9096"	"1.2126"	"1.7832"	"7.5668"	"9.4725"	"7.0734"	"9.3162"	"2.9241"	"1.1185"	"1.8885"
"1990"	"0.9527"	"0.3248"	"1.6228"	"0.3595"	"5.5618"	"7.6467"	"8.0653"	"10.3419"	"6.6088"	"5.4816"	"1.8682"	"1.5414"
"1991"	"0.8009"	"0.9079"	"1.1091"	"2.054"	"1.6569"	"8.5469"	"8.7999"	"7.0845"	"7.0563"	"2.4598"	"1.8275"	"0"
"1992"	"0"	"0"	"0"	"1.0895"	"3.0934"	"6.9632"	"6.2914"	"10.1977"	"10.3112"	"3.63"	"1.7344"	"0"
"1993"	"0"	"0.9413"	"1.5956"	"1.1565"	"1.4663"	"5.623"	"9.2114"	"7.8681"	"7.1788"	"6.9586"	"1.1185"	"2.1478"
"1994"	"1.0001"	"1.0001"	"1.3524"	"2.6446"	"1.7049"	"8.252"	"9.1555"	"8.5846"	"7.7853"	"5.8372"	"2.0035"	"0"
"1995"	"1.0001"	"0"	"2.0314"	"1.064"	"3.3179"	"6.5763"	"10.0128"	"6.6532"	"9.9023"	"5.9168"	"1.509"	"0"
"1996"	"0.377"	"1.0001"	"0.9872"	"1.4397"	"1.0875"	"6.4517"	"8.8273"	"9.8784"	"9.9189"	"6.3032"	"2.7208"	"0"
"1997"	"1.0001"	"0"	"1.2858"	"2.7385"	"1.4806"	"6.6591"	"8.1455"	"9.8578"	"4.8908"	"3.8397"	"4.9362"	"1.8993"
"1998"	"0"	"1.0001"	"0.7078"	"1.0419"	"1.3376"	"5.6055"	"8.9462"	"9.6916"	"12.2635"	"5.9514"	"3.1374"	"0"
"1999"	"0"	"0.9917"	"0"	"1.064"	"4.2363"	"6.4994"	"7.829"	"7.055"	"8.6952"	"6.127"	"0.2521"	"0"
"2000"	"0"	"1.0001"	"0"	"1.1695"	"3.1353"	"7.9198"	"7.9997"	"9.9858"	"6.1047"	"2.6648"	"1.1185"	"1.6601"
"2001"	"1.0001"	"0"	"1.8337"	"1.5519"	"1.5245"	"7.9959"	"5.092"	"8.9067"	"6.3507"	"5.0015"	"1.1536"	"0"
"2002"	"1.0001"	"0.3248"	"1.2804"	"1.5768"	"2.3141"	"8.797"	"4.3698"	"9.0548"	"6.108"	"3.7013"	"1.1185"	"0"
